Questions-Hin,Questions-En,Answer-Hin,Answer-En
क्या परीक्षा/साक्षात्कार में बैठने के लिए फोटो आईडी कार्ड लाना आवश्यक है?,"Is it essential to carry Photo ID Card for appearing at an
Examination/Interview? ","आवेदक को आयोग की परीक्षा के लिए ऑनलाइन आवेदन पत्र भरते समय फोटो आईडी कार्ड (
अर्थात्‌ आधार कार्ड / वोटर कार्ड पैन कार्ड पासपोर्ट ड्राइविंग लाइसेंस/ केंद्र राज्य/केन्द्र शासित सरकार
दूवारा जारी किया गया कोई अन्य फोटो आईडी कार्ड) की संख्या भरनी होगी और अपलोड करना होगा।
उम्मीदवार को परीक्षा के लिए जारी किए गए ई-प्रवेशपत्र पर फोटो आई डी कार्ड का उपर्युक्त नंबर अंकित
होता है। परीक्षा/साक्षात्कार में भाग लेने के लिए उम्मीदवार को ई-प्रवेशपत्रई-सम्मन पत्र के साथ उसी फोटो
आई डी कार्ड को साथ लाना होगा। यह फोटो आई डी कार्ड सभी भावी संदर्भों के लिए प्रयोग में लाया
जाएगा। यदि वह उम्मीदवार परीक्षा/साक्षात्कार के दौरान उसे प्रस्तुत नहीं कर पाता है/पाती है तो उसे
केन्द्र/राज्यसिंघ शासित सरकार दूवारा जारी अन्य फोटो आई डी कार्ड के साथ वचनबंध प्रस्तुत करना होगा।","The applicant is required to fill in the number of the Photo ID Card (viz. Aadhaar Card/Voter Card/PAN Card/Passport/Driving Licence/Any other Photo ID Card issued by the Central/State/UT Government) and to upload the same while filling up the online application form of an Examination of the Commission. The above number of the Photo ID Card is printed on the e-Admit Card of the Examination issued to the candidate. The candidate is then required to carry the same Photo ID Card along with the eAdmit Card/e-Summon Letter for appearing at the Examination/Interview. This Photo ID Card will be used for all future referencing. In case he/she is unable to produce the same during Examination/Interview, he/she will have to submit an Undertaking alongwith any other Photo ID Card issued by the Central/State/UT Government."
परीक्षा स्थल पर रिपोर्ट करने के लिए समय क्या है और परीक्षा स्थल में प्रवेश बंद करने का समय क्या है?,"What are the timing for reporting at the Examination Venue and
time of closure of entry into the Examination Venue? Examination/Interview? ","उम्मीदवारों को सलाह दी जाती है कि वे समय से परीक्षा स्थल पर पहुंच जाएं ताकि आवश्यक
नियमों का पालन करने के पश्चात परीक्षा स्थल के अंदर प्रवेश सुनिश्चित किया जा सके। जहां तक प्रवेश
बंद होने के समय का संबंध है। उम्मीदवार यह भी नोट कर लें कि परीक्षा स्थल पर प्रवेश, परीक्षा सत्र के
शुरू होने के निर्धारित समय से 0 मिनट पहले बंद हो जाता है। उदाहरण के लिए यदि सत्र प्रात: 0.00
बजे से शुरू होता है तो परीक्षा स्थल में प्रवेश प्रात: 09:50 बजे बंद हो जाएगा।।","The candidates are advised to reach the Venue well in time so that
their entry inside the Examination Venue could be ensured smoothly after
observing necessary protocol. As regard time for closure of entry, the
candidate may note that the entry into the Examination Venue is closed 10
minutes before commencement of the Examination Session e.g. if Session
starts at 10:00 a.m., the entry inside the Examination Venue shall be closed
sharp at 09:50 a.m. "
ऑनलाइन आवेदन पत्र भरते समय कौन-कौन सी सावधानियां बरती जानी चाहिएं?,"What precautions should be taken while filling up the Online
Application Form?",ऑनलाइन आवेदन भरने से पहले कृपया अनुदेशों को ध्यानपूर्वक पढ़ लें।,Please read the instructions carefully before filling up the Online Application Form.
आरआईडी क्या है?,What is RID?,आरआईडी पंजीकरण आईडी है । जब आवेदक अपने आवेदन पत्र के भाग-। की पंजीकरण,"RID is Registration ID, which is generated by the system when the applicant completes PART-I registration of his/her application."
टीआईडी क्या है?,What is TID?,टीआईडी ट्रांजेक्शन आईडी है । यह भारतीय स्टेट बैंक द्वारा उस समय प्रदान किया,"TID is Transaction ID, which is given by the State Bank India when the applicant deposits his/her fee in cash. It is automatically generated when Internet Banking or credit/debit card mode is used for making the fee payment."
आवेदन पत्र के भाग- I तथा भाग-II  से क्या तात्पर्य है?,What is meant by Part I and Part II of the Application Form?,"ऑन लाइन आवेदन पत्र के दो भाग होते हैं, अर्थात्‌ भाग-I और भाग-II |
आवेदन के भाग-] में व्यक्तिगत ब्यौरे जैसे नाम, माता / पिता का नाम, जन्म तिथि, पता,
शैक्षणिक योग्यता, आयु में छूट, स्क्राइब संबंधी विवरण[केवल बैंचमार्क अशक्तता वाले
उम्मीदवारों के लिए जो स्क्राइब का विकल्प चुनेंगे और परीक्षा विशेष की वरीयताएं आदि
शामिल हैं। आवेदकों को अपने फोटो पहचान पत्र की संख्या का भी उल्लेख करना होगा | आवेदन के भागा! में परीक्षा शुल्क के भुगतान का विकल्प (केवल उन उम्मीदवारों के
लिए जिन्हैं शुल्क के भुगतान से छूट प्राप्त नहीं है), परीक्षा केन्द्र के साथ-साथ उम्मीदवार
की फोटो, हस्ताक्षर और फोटो पहचान पत्र को अपलोड करना शामिल है।
उम्मीदवार को उक्त परीक्षा का उम्मीदवार बनने के लिए उम्मीदवार को भाग । तथा भाग
॥, दोनों को पूरा करना और अन्तिम रूप में जमा करना होगा |","Online Application Form consists of two parts i.e. Part I and Part II.  Part I of the Application has personal details like name, father’s/mother’s name, date of birth, address, educational qualification, age relaxation, scribe details (only for PwBD candidates opting for scribe) and preferences of particular Examination etc. The applicants are also required to mention the number of Photo ID Card.  Part II of the Application consists of payment option for Examination Fee (only for those who are not exempted from payment of fee), Centre of Examination along with uploading of photo, signature and photo ID card of the candidate. Candidate has to complete both Part I and Part II and submit finally to be a candidate of the said Examination."
भाग-II को नहीं भरा जाना/परीक्षा शुल्क जमा नहीं किया जाना।,Non-filling up of Part II/Non-submission of fee.,"यदि भाग-ा को जमा किए बिना आवेदन पत्र का केवल भाग-I जमा किया जाता है तो
आवेदन अधूरा रहेगा और उम्मीदवारी रजिस्टर नहीं हो सकेगी। उन मामलों में भी आवदेन को
अधूरा माना जाएगा जब आवेदक ने भाग-। को जमा कर दिया हो और परीक्षा शुल्क भी जमा कर
दिया हो, परंतु भाग-॥ को पूरा न किया हो (अर्थात्‌ उसने परीक्षा केन्द्र, फोटोग्राफ और हस्ताक्षर
तथा फोटो पहचान पत्र जमा न किए हों) |","If only PART-I of the application is submitted without submitting PART-II, the application remains incomplete and candidature cannot be registered. The application is incomplete even in cases where the applicant has submitted PART-I and paid fee as well, but has not completed PART-II (i.e. failed to submit Centre, photograph, signature and photo ID card)."
भाग- II पंजीकरण के कौन-कौन से स्टेप हैं?,What are the steps in PART-II registration?,"भाग- पंजीकरण के अंतर्गत निम्नलिखित स्टेप शामिल हैं:-
1. शुल्क का भुगतान (केवल उन उम्मीदवारों के लिए जिन्हें शुल्क के भुगतान से छूट प्राप्त नहीं
है)।
कद
2. उपलब्ध ड्रॉप डाउन मेन्‍्यू में से परीक्षा केन्द्र का चयन करना।
3. फोटोग्राफ, हस्ताक्षर और फोटो पहचान पत्र अपलोड करना।
4. घोषणा (डिक्लेरेशन) से सहमत होना।","Part II registration comprises of following steps:- 1. Fee payment (only for candidates not exempted from payment of fee). 2. Choosing of the Examination Centre from the available drop down menu. 3. Uploading of photograph, signature and photo ID card. 4. Agreeing to the Declaration."
परीक्षा केन्द्र के विकल्प को सबमिट नहीं करना।,Not submitting the choice of Centre.,"यदि किसी उम्मीदवार ने भाग-II में केन्द्र का विकल्प नहीं भरा है तो ऑनलाइन प्रणाली
दूवारा उम्मीदवार को फार्म सब्मिट करने की अनुमति नहीं दी जाएगी और आवेदन-पत्र की स्थिति
""सब्मिट नहीं किया गया"" भी रहेगी। इस प्रकार वह उस विशिष्ट परीक्षा के लिए उम्मीदवार नहीं
माना जाएगा / जाएगी । अतः, उम्मीदवारों को सलाह दी जाती है कि परीक्षा केन्द्र का विकल्प
चुनने के बाद “सबमिट” बटन पर क्लिक करें।","The online system will not allow the candidate to submit the form if he/she has left the choice of Centre blank in Part II and status of the application will remain “not submitted”. Thus, he/she will not be the candidate of that particular Examination. Therefore, candidates are advised to click on the “submit” button after selecting the Examination Centre."
शुल्क का भुगतान नहीं करना।,Non Payment of Fee,"शुल्क का भुगतान नहीं करने पर (यदि शुल्क के भुगतान से छूट नहीं दी गई है)
उम्मीदवारी निरस्त कर दी जाएगी |",Non-payment of Fee (if not exempted from Fee payment) will lead to cancellation of the candidature.
बैंक चालान के माध्यम से भुगतान के मामले में गलत टीआईडी की प्रविष्ट करना ।,Entering wrong TID in case of payment through Bank Challan.,"यह देखा गया है कि बैंक चालान के माध्यम से परीक्षा शुल्क का भुतान करने वाले कुछ
उम्मीदवार या तो टी आई डी की गलत प्रविष्ट कर देते हैं या पुराना टी आई डी. सब्मिट कर
देते हैं । यह भी देखा गया है कि एक से अधिक आवेदन-पत्र प्रस्तुत किए जाते हैं जिनके साथ
परीक्षा शुल्क जमा नहीं किया जाता है अथवा किसी आवेदन (आर आई डी) के शुल्क संबंधी
विवरण (टी आई डी) का उल्लेख भिन्न आर आई डी वाले दूसरे आवेदन-पत्र के समक्ष किया जाता
है । इसके कारण से ऑनलाइन आवेदन-पत्र अस्वीकार कर दिए जाते हैं ।",It is seen that some candidates who submit their fee through Bank Challan either enter the wrong TID or submit an old TID. It has also been observed that submission of multiple applications is followed by either nonpayment of fee OR fee particulars (TID) of one application (RID) being mentioned against another application with a different RID. This leads to rejection of the online application.
फोटोग्राफ/हस्ताक्षर की अदला-बदली करना या इनकी गुणवत्ता खराब होना।,Swapping of Photograph and Signature or their poor quality," अपलोड किए गए फोटोग्राफ तथा हस्ताक्षर की गुणवत्ता का खराब होना या इनकी अदला-
बदली करने से भविष्य में समस्याएं उत्पन्न होगी । अत: उम्मीदवारों को सलाह दी जाती है कि
वे कृपया आवेदन पत्र भरते समय एप्लीकेशन मॉइयूल में स्वीकार्य फोटोग्राफ/हस्ताक्षर संबंधी संगत
अनुदेशों का ध्यानपूर्वक अवलोकन करें ।","Poor quality of uploaded photograph and signature or swapping of the same will lead to complications in future. Therefore, candidates are advised to peruse the relevant instructions carefully regarding acceptable photograph/ signature in the application module at the time of application."
सिविल सेवा परीक्षा की संरचना क्या है?,What is the structure of the Civil Services Examination?,सिविल सेवा परीक्षा में दो क्रमिक चरण (स्टेज) शामिल हैं: सिविल सेवा (प्रारंक्षिक) परीक्षाऔर सिविल सेवा (प्रधान) परीक्षा(लिखित एवं साक्षात्कार)।,The Civil Services Examination (CSE) comprises of two successive stages: the Civil Services (Preliminary) Examination (CSP) and the Civil Services (Main) Examination (Written and Interview).
सिविल सेवा (प्रारंभिक) परीक्षा क्या है?,What is the Civil Services (Preliminary) Examination?,"संघ लोक सेवा आयोग, भारतीय प्रशासनिक सेवा (भा.प्र.से.), भारतीय विदेश सेवा (भा.वि.से.),
भारतीय पुलिस सेवा (भा.पु.से.) तथा अन्य केन्द्रीय सेवाओं तथा पदों पर भर्ती हेतु सरकार (कार्मिक
एवं प्रशिक्षण विभाग) दूवारा भारत के असाधारण राजपत्र में प्रकाशित नियमावली के अनुसार
सिविल सेवा प्रारंक्िक परीक्षा का आयोजन करता है।
यह परीक्षा केवल स्क्रीनिंग टेस्ट स्वरूप की है; प्रारंभिक परीक्षा में उम्मीदवारों के प्राप्तांक,
जिनके आधार पर उन्हें प्रधान परीक्षा में प्रवेश हेतु आअहँक घोषित किया जाता है, की गणना उनके
अंतिम योग्यता क्रम के निर्धारण के लिए नहीं की जाती है । केवल ऐसे उम्मीदवार जो आयोग
दूवारा उस वर्ष की प्रारंभिक परीक्षा में अहक घोषित किए जाते हैं, उस वर्ष-विशेष की प्रधान परीक्षा
देने के पात्र होंगे बशर्ते कि वे प्रधान परीक्षा में प्रवेश पाने हेतु अन्यथा पात्र हों।","UPSC conducts Preliminary Examination of the Civil Services
Examination for recruitment to the Indian Administrative Service (IAS),
Indian Foreign Service (IFS), Indian Police Service (IPS) and other Central
Services and posts in accordance with the Rules published by the
Government (Department of Personnel & Training) in the Gazette of India
Extraordinary.
This Examination is meant to serve as a screening test only; the marks
obtained in the Preliminary Examination by the candidates, who are declared
qualified for admission to the Main Examination, are not counted for
determining their final order of merit. Only those candidates, who are
declared by the Commission to have qualified in the Preliminary Examination
in the year, will be eligible to appear at the Main Examination of that year
provided they are otherwise eligible for admission to the Main Examination. "
क्या सिविल सेवा (प्रारंभिक) परीक्षा हेतु किए गए प्रयास की गणना सिविल सेवा परीक्षा के लिए किए गए प्रयास के रूप में की जाती है?,"Is an attempt at the Civil Services (Preliminary) Examination
counted as an attempt at the Civil Services Examination?","(i) प्रारंक्िक परीक्षा हेतु किए गए प्रयास को सिविल सेवा परीक्षा के लिए किए गए एक
प्रयास के रूप में माना जाएगा। (ii) यदि कोई उम्मीदवार वस्तुतः: प्रारंक्षिक परीक्षा के किसी एक
पेपर में भी शामिल होता है, तब यह माना जाएगा कि उसने परीक्षा के लिए प्रयास किया है। (iii)
परीक्षा में उम्मीदवार के शामिल होने की गणना परीक्षा के लिए उसके द्वारा किए गए प्रयास के रूप में की जाएगी भले ही अयोग्यता / किसी अन्य आधार पर परीक्षा हेतु उसकी उम्मीदवारी रदूद
कर दी गई हो।"," (i) An attempt at a Preliminary Examination shall be taken as an
attempt at the Civil Services Examination. (ii) If a candidate actually appears
in any one paper in the Preliminary Examination, it shall be taken as an
attempt at the Examination. (iii) Notwithstanding the disqualification/
cancellation of candidature, the fact of appearance of the candidate at the
Examination will count as an attempt. "
"यदि किसी उम्मीदवार ने सिविल सेवा (प्रारंभिक) परीक्षा के लिए आवेदन किया है,
लेकिन वह सिविल सेवा (प्रारंभिक) परीक्षा के किसी भी पेपर में शामिल नहीं हुआ हो, तो क्या
इसकी गणना प्रयास के रूप में की जाएगी?
","If a candidate has applied for the Civil Services (Preliminary)
Examination but has not appeared at any paper in the Civil Services
(Preliminary) Examination will it be counted as an attempt?","नहीं। प्रयास की गणना केवल तभी की जाएगी, जब कोई उम्मीदवार सिविल सेवा (प्रारंभिक)
परीक्षा में कम से कम किसी एक पेपर में शामिल हुआ हो।","No, an attempt is counted only if a candidate has appeared in at least one paper in the Civil Services (Preliminary) Examination."
सिविल सेवा (प्रारंभिक) परीक्षा की योजना क्या है?,"What is the scheme of the Civil Services (Preliminary)
Examination?","परीक्षा में दो अनिवार्य पेपर होते हैं और प्रत्येक पेपर 200 अंकों का होता है। (i) दोनों
ही पेपर वस्तुनिष्ठ प्रकार के (बहुविकल्पी उत्तरों वाले) होते हैं। (ii) प्रश्न-पत्र हिंदी एवं अंग्रेजी
दोनों भाषाओं में होते हैं। (iii) पाठ्यक्रम का विवरण सरकार द्वारा प्रकाशित परीक्षा नोटिस एवं
राजपत्र अधिसूचना में दिया होता है। (iv) प्रत्येक पेपर दो घंटे का होता है।","The Examination is comprised of two compulsory papers of 200
marks each. (i) Both the question papers are of objective type (multiple choice
questions). (ii) The question papers are set in Hindi and English. (iii) Details
of the syllabi are provided in the Examination Notice and Gazette Notification
published by the Government. (iv) Each paper is of two hours duration. "
"क्या सामान्य अध्ययन प्रश्न-पत्र -II अरहक स्वरूप के होते है ? इस प्रश्न-पत्र के लिए
कट-ऑफ अंक क्या हैं?","Is the General Studies Paper-II of qualifying nature? What are
the Cut-off Marks for this Paper?","हां, सामान्य अध्ययन प्रश्न-पत्रजा अरहक स्वरूप का होता हैं । इस प्रश्न पत्र में न्यूनतम
आअहक मानकों को परीक्षा नियमावली मैं निर्दिष्ट किया गया है तथा वर्तमान में यह 33% है।","Yes, the General Studies Paper-II is of qualifying nature. The minimum qualifying standards in this Paper is indicated in the Examination Rules and at present, it is 33%."
 कया सिविल सेवा (प्रारंक्षिक) परीक्षा में ऋणात्मक अंकन (निगेटिव मार्किंग) होता है ?,"Is there any negative marking at the Civil Services (Preliminary)
Examination?","उम्मीदवार यह नोट करें कि सिविल सेवा (प्रारंभिक) परीक्षा में किसी उम्मीदवार द्वारा
गलत उत्तर दिए जाने पर दंड (ऋणात्मक अंकन) होगा। प्रत्येक प्रश्न के लिए उत्तर स्वरूप चार
विकल्प मौजूद हैं। (i) किसी प्रश्न हेतु उम्मीदवार दूवारा गलत उत्तर दिए जाने पर उस प्रश्न के
लिए निर्धारित अंकों में से एक तिहाई (1/3) अंकों की दंड स्वरूप कटौती कर दी जाएगी। (ii) यदि
कोई उम्मीदवार किसी प्रश्न का एक से अधिक उत्तर देता है तब इसे गलत उत्तर माना जाएगा
भले ही उसके द्वारा दिए गए उत्तरों मैं से कोई उत्तर सही हो तथा उस प्रश्न के लिए भी उपर्युक्त
दंड होगा। (iii) यदि कोई प्रश्न छोड़ दिया जाता है, अर्थात उम्मीदवार कोई उत्तर नहीं देता है तब
उस प्रश्न के लिए कोई दंड नहीं होगा।","Candidates should note that there is penalty (negative marking) for wrong answers marked by a candidate in the Civil Services (Preliminary) Examination. There are four alternatives for the answers to every question.
(i) For each question for which a wrong answer has been given by the
candidate, one-third (1/3rd) of the marks assigned to that question is
deducted as penalty. (ii) If a candidate gives more than one answer, it is
treated as a wrong answer even if one of the given answers happens to be
correct and there will be same penalty as above for that question. (iii) If a
question is left blank, i.e. no answer is given by the candidate; there will be
no penalty for that question. "
निर्धारित न्यूनतम शैक्षिक योग्यता कया है?,What are the minimum educational qualifications prescribed?,"उम्मीदवार के पास अनिवार्यत: भारत में केन्द्रीय अथवा राज्य विधानमंडल के अधिनियम
दूवारा शामिल किसी विश्वविद्यालय अथवा संसद के किसी कानून के तहत स्थापित किसी अन्य
शैक्षिक संस्थान, जिसे विश्वविद्यालय अनुदान आयोग अधिनियम, 1956 की धारा 3 के तहत
मानद विश्वविद्यालय के रूप में घोषित किया गया है, से प्राप्त डिग्री अथवा समकक्ष योग्यता
होनी चाहिए।","The candidate must hold a degree of any of Universities
incorporated by an Act of the Central or State Legislature in India or any
other educational institution established by an Act of Parliament or declared
to be deemed as a University under Section-3 of the University Grants
Commission Act, 1956, or possess an equivalent qualification."
"किसी सेवा/पद हेतु अपेक्षित शारीरिक अपेक्षाएं/प्रकार्यात्मक वर्गीकरण के संदर्भ में, केअनुसार पात्रता संबंधी मानदंड कया हैं?","What are the eligibility criteria in terms of physical requirements/
functional classification required for a Service/ Post?","बैंचमार्क अशक्ता वाले उम्मीदवारों को भी संवर्ग नियंत्रक प्राधिकरणों दूवारा चिन्हित का
सेवा/पद हेतु यथानिर्धारित अपेक्षाओं के अनुरूप शारीरिक अपेक्षा/प्रकार्यात्मक वर्गीकरण
(योग्यताएं/अशक्तताएं) के अनुसार पात्रता संबंधी विशिष्ट मानदंडों को पूरा करना अपेक्षित होगा।
शारीरिक अपेक्षाओं एवं प्रकार्यात्मक वर्गीकरण का विवरण परीक्षा की नियमावल्ली / नोटिस में दिया गया है।",The Persons with Benchmark Disabilities candidates shall also be required to meet eligibility criteria in terms of physical requirements/functional classifications (abilities/disabilities) consistent with the requirements of the identified Service/Post as may be prescribed by its Cadre Controlling Authorities. The details of physical requirements and functional classifications are given in the Rules/Notice of the Examination.
"सरकारी सेवा में पहले से कार्यरत व्यक्तियों को अपने कार्यालय प्रमुख को क्या जानकारी
देनी चाहिए?","What information should be given by persons already in
Government Service to their Head of Office?","सरकारी सेवा में पहले से मौजूद व्यक्तियों, जिनमें दिहाड़ी अथवा दैनिक मजदूरी के
आधार पर कार्यरत कर्मचारी अथवा सार्वजनिक क्षेत्र के उद्यमों में कार्यरत कर्मचारियों को छोड़कर
शेष सभी कर्मचारी शामिल हैं, चाहे वे स्थायी अथवा अस्थायी या कार्य प्रभारी के तौर पर कार्यरत
हों, को इस आशय का वचनबंध प्रस्तुत करना अपेक्षित होगा कि उन्होंने अपने कार्यालय/विभाग
के प्रमुख को लिखित तौर पर यह सूचित कर दिया है कि उन्होंने इस परीक्षा के लिए आवेदन
किया है। उम्मीदवार यह नोट करें कि यदि आयोग को उनके नियोक्ता से इस परीक्षा के लिए
उनके आवेदन को स्वीकार नहीं करने/परीक्षा में शामिल होने पर रोक लगाने संबंधी कोई सूचना
प्राप्त होती है, तो उनका आवेदन अस्वीकार कर दिया जाएगा/उनकी उम्मीदवारी निरस्त की जा
सकती है |","- Persons already in Government Service, whether in a permanent or
temporary capacity or as work charged employees other than casual or daily
rated employees or those serving under the Public Sector Enterprises, are
required to submit an undertaking that they have informed their Head of
Office/Department, in writing, that they have applied for the Examination.
Candidates should note that in case a communication is received from their
employer, by the Commission, withholding permission to the candidates
applying for/appearing at the Examination, their applications will be liable to be rejected/candidature will be liable to be cancelled. "
समुदाय आरक्षण संबंधी और समुदाय परिवर्तन संबंधी कया प्रावधान है?,"What are the provisions regarding community reservation and
change of community","कोई भी उम्मीदवार समुदाय संबंधी आरक्षण का लाभ उठाने का पात्र तभी होगा जब वह
विशिष्ट समुदाय/जाति/जनजाति जिससे उम्मीदवार संबंधित है, केन्द्र सरकार द्वारा जारी आरक्षित
का समुदायों की सूची में शामिल हो। यदि कोई उम्मीदवार सिविल सेवा (प्रारंभिक) परीक्षा के लिए

अपने आवेदन पत्र में यह इंगित करता है कि वह सामान्य श्रेणी से संबंधित है परंतु बाद में आयोग
को यह लिखता है कि उसकी श्रेणी आरक्षित श्रेणी में बदल दी जाए तो ऐसे अनुरोध पर आयोग
दूवारा विचार नहीं किया जाएगा । बैंचमार्क अशक्तता वाले उम्मीदवारों के मामले में भी इसी
सिदूधांत का पालन किया जाएगा। तथापि कुछ असाधारण मामलों में जहां आवेदन पत्र प्रस्तुत
करने की तारीख से 3 माह के अंदर किसी विशिष्ट जाति/जनजाति का नाम आरक्षित समुदाय की
सूची में शामिल किया जाता है, एक विशेष मामले के तौर पर आयोग समुदाय मैं परिवर्तन के
अनुरोध पर विचार कर सकता है ।
यदि परीक्षा प्रक्रिया के दौरान दुर्भाग्यवश कोई उम्मीदवार शारीरिक रूप से विकलांग हो
जाता है, तो उम्मीदवार को संगत नियमों में उल्लिखित 40% या अधिक की विकलांगता दर्शने
से संबंधित एक वैध दस्तावेज प्रस्तुत करना होगा ताकि उसे विकलांगता से संबंधित आरक्षण का
लाभ दिया जा सके |","A candidate will be eligible to get the benefit of community
reservation only in case the particular community/ caste / tribe to which the
candidate belongs is included in the list of reserved communities issued by
the Central Government. If a candidate indicates in his/her application form
for Civil Services (Preliminary) Examination that he/she belongs to General
category but subsequently writes to the Commission to change his/her
category to a reserved one, such request shall not be entertained by the
Commission. Similar principle will also be followed for Persons with
Benchmark Disabilities candidates. However, in some exceptional cases
where a particular caste/tribe is included in the list of reserved community
within 3 months from the date of submission of application, the Commission
may consider a request of change of community as a special case.
In case of a candidate unfortunately becoming physically disabled during the
course of the examination process, the candidate should produce valid
document showing him/her acquiring a disability to the extent of 40% or
more as mentioned in the relevant rules to enable him/her to get the benefits
of PwBD reservation. "
"अ.जा., अ.ज.जा., अ.पि.व., ई. डब्ल्यू. एस. एवं बैंचमार्क अशक्तता वाले उम्मीदवारों केलिए आरक्षण संबंधी क्या प्रावधान हैं?","What are the provisions for reservation for SC, ST, OBC, EWS and
PwBD candidates?","अनुसूचित जाति, अनुसूचित जनजाति, अन्य पिछड़े वर्ग, आर्थिक रूप से कमजोर वर्ग एवंबैंचमार्क अशक्तता वाले उम्मीदवारों के लिए रिक्तियों के मामले में आरक्षण सरकार द्वारायथानिर्धारित नीति के तहत दिया जाएगा |","Reservation will be made for candidates belonging to Scheduled
Castes. Scheduled Tribes, Other Backward Classes, Economically Weaker
Sections and Persons with Benchmark Disabilities candidates in respect of
vacancies as may be fixed by the Government. "
 कया उम्मीदवार ऐसे वैकल्पिक विषय को चुन सकता है जो उसने स्नातक अथवा स्नातकोत्तर स्तर पर नहीं पढ़ा है ?,"Can a candidate choose an optional subject, which he has not studied at graduate/post graduate level?",जी हां |,Yes
प्रश्न पत्रों की भाषा/ माध्यम क्या है?,Which is the language / medium of question papers?,"सभी प्रश्न पत्र हिंदी और अंग्रेजी में तैयार किए जाते हैं (भाषा साहित्य के
प्रश्न पत्रों के अलावा) ।",The question papers (other than the literature of language papers) are set in Hindi and English.
"क्या उम्मीदवार सिविल सेवा (प्रधान) परीक्षा के अलग-अलग
पेपर विभिन्‍न भाषाओं में दे सकता है?","Can a candidate write different papers of Civil Service (Main)
Examination in different languages?","नहीं, क्वालीफाइंग भाषा प्रश्न पत्र-क और प्रश्न पत्र-ख-दो को छोड़कर,उम्मीदवार के पास अंग्रेजी अथवा आठवीं अनुसूची के अंतर्गत स्वीकार्य किसी भीभाषा में अपने उत्तर लिखने का विकल्प होता है । जैसा कि उन्होंने सिविल सेवा(प्रारंभिक परीक्षा) के लिए ऑनलाइन आवेदन करते समय भरा है ।","No, the Candidates have the option to write their answers either in
English or in any one of the Eighth Schedule languages except the Qualifying
Language papers Paper-A and Paper-B, which they have indicated at the time
of filling up of their online application form for the Civil Service (Preliminary)
Examination."
"सिविल सेवा (प्रधान) परीक्षा के प्रश्न पत्र किस प्रकार तैयार किए
जाते हैं? प्रत्येक प्रश्न पत्र की अवधि कितनी होती है?","How are the Question Papers for the Civil Services (Main)
Examination structured? What is the duration of each paper?","परीक्षा के प्रश्न पत्र परंपरागत (निबंधात्मक) प्रकार के होते हैं । प्रत्येक प्रश्न
पत्र की अवधि 3 घंटे होती है ।
",The question papers for the examination are of conventional (essay) type. Each paper is of three hours duration.
क्या उम्मीदवार सिविल सेवा प्रधान परीक्षा अंग्रेजी मैं तथासाक्षात्कार हिंदी अथवा अन्य किसी भारतीय भाषा मैं दे सकता है?,Can a candidate write the Civil Service (Main) Examination in English and take the interview in Hindi or any other Indian language?,"सिविल सेवा प्रधान परीक्षा के लिखित भाग के लिए भारतीय भाषा माध्यम
चुनने वाले उम्मीदवार साक्षात्कार हेतु उसी भारतीय भाषा अथवा अंग्रेजी अथवा हिंदी
को माध्यम के रूप में चुन सकते हैं ।
सिविल सेवा (प्रधान) परीक्षा के लिखित भाग के लिए अंग्रेजी का चयन करने वाले
उम्मीदवार साक्षात्कार के माध्यम के रूप में अंग्रेजी अथवा हिंदी अथवा उनके दूवारा
सिविल सेवा (प्रधान) परीक्षा के लिखित भाग में अनिवार्य भारतीय भाषा प्रश्न पत्र के लिए चुनी गई किसी भी अन्य भारतीय भाषा को साक्षात्कार के लिए चुन सकते
हैं ।
उम्मीदवार को विस्तृत आवेदन फॉर्म (डी.ए.एफ.) भरते समय साक्षात्कार की भाषा
के माध्यम को सूचित करना होता है |
तथापि जिन उम्मीदवारों को अनिवार्य भारतीय भाषा प्रश्न पत्र से छूट मिली हुई है,
उन्हें साक्षात्कार अथवा व्यक्तित्व परीक्षण के लिए अंग्रेजी अथवा हिंदी को माध्यम
के तौर पर चुनना होगा |","The candidates, opting for Indian Language medium for the written
part of the Civil Services (Main) Examination may choose either the same
Indian Language or English or Hindi as the medium for the interview.
The candidates, opting to write the Civil Services (Main) Examination in
English, may choose either English or Hindi or any other Indian Language
opted by them for the compulsory Indian Language Paper in the written part
of the Civil Services (Main) Examination, as the medium for interview. The candidate has to indicate the language medium of interview at the time of
filling up of the Detailed Application Form (DAF)
However, the candidates, who are exempted from the compulsory Indian
Language Paper, will have to choose either English or Hindi as medium of
Interview or Personality Test."
